age,residency,applicants,years_pooled
14,Non Resident,1,EY2020-2025
17,Non Resident,8,EY2020-2025
17,Texas Resident,7,EY2020-2025
18,Non Resident,15,EY2020-2025
18,Texas Resident,45,EY2020-2025
19,Non Resident,81,EY2020-2025
19,Texas Resident,319,EY2020-2025
20,Non Resident,861,EY2020-2025
20,Texas Resident,3475,EY2020-2025
21,Non Resident,2990,EY2020-2025
21,Texas Resident,10669,EY2020-2025
22,Non Resident,2600,EY2020-2025
22,Texas Resident,8826,EY2020-2025
23,Non Resident,1987,EY2020-2025
23,Texas Resident,6214,EY2020-2025
24,Non Resident,1510,EY2020-2025
24,Texas Resident,3777,EY2020-2025
25,Non Resident,831,EY2020-2025
25,Texas Resident,2327,EY2020-2025
26,Non Resident,422,EY2020-2025
26,Texas Resident,1451,EY2020-2025
27,Non Resident,314,EY2020-2025
27,Texas Resident,962,EY2020-2025
28,Non Resident,198,EY2020-2025
28,Texas Resident,703,EY2020-2025
29,Non Resident,140,EY2020-2025
29,Texas Resident,515,EY2020-2025
30,Non Resident,90,EY2020-2025
30,Texas Resident,384,EY2020-2025
31,Non Resident,92,EY2020-2025
31,Texas Resident,303,EY2020-2025
32,Non Resident,58,EY2020-2025
32,Texas Resident,253,EY2020-2025
33,Non Resident,65,EY2020-2025
33,Texas Resident,192,EY2020-2025
34,Non Resident,54,EY2020-2025
34,Texas Resident,178,EY2020-2025
35,Non Resident,38,EY2020-2025
35,Texas Resident,107,EY2020-2025
36,Non Resident,27,EY2020-2025
36,Texas Resident,113,EY2020-2025
37,Non Resident,20,EY2020-2025
37,Texas Resident,104,EY2020-2025
38,Non Resident,26,EY2020-2025
38,Texas Resident,78,EY2020-2025
39,Non Resident,20,EY2020-2025
39,Texas Resident,66,EY2020-2025
40,Non Resident,11,EY2020-2025
40,Texas Resident,36,EY2020-2025
41,Non Resident,5,EY2020-2025
41,Texas Resident,39,EY2020-2025
42,Non Resident,10,EY2020-2025
42,Texas Resident,35,EY2020-2025
43,Non Resident,6,EY2020-2025
43,Texas Resident,23,EY2020-2025
44,Non Resident,4,EY2020-2025
44,Texas Resident,22,EY2020-2025
45,Non Resident,4,EY2020-2025
45,Texas Resident,15,EY2020-2025
46,Non Resident,2,EY2020-2025
46,Texas Resident,13,EY2020-2025
47,Non Resident,2,EY2020-2025
47,Texas Resident,15,EY2020-2025
48,Non Resident,1,EY2020-2025
48,Texas Resident,12,EY2020-2025
49,Non Resident,3,EY2020-2025
49,Texas Resident,10,EY2020-2025
50,Non Resident,3,EY2020-2025
50,Texas Resident,5,EY2020-2025
51,Non Resident,2,EY2020-2025
51,Texas Resident,4,EY2020-2025
52,Non Resident,2,EY2020-2025
52,Texas Resident,5,EY2020-2025
53,Texas Resident,6,EY2020-2025
54,Texas Resident,1,EY2020-2025
55,Texas Resident,1,EY2020-2025
56,Non Resident,2,EY2020-2025
57,Non Resident,1,EY2020-2025
58,Texas Resident,1,EY2020-2025
59,Texas Resident,1,EY2020-2025
60,Non Resident,1,EY2020-2025
61,Non Resident,2,EY2020-2025
61,Texas Resident,1,EY2020-2025
62,Non Resident,1,EY2020-2025
62,Texas Resident,2,EY2020-2025
63,Texas Resident,1,EY2020-2025
64,Texas Resident,1,EY2020-2025
65,Texas Resident,1,EY2020-2025
66,Texas Resident,1,EY2020-2025
67,Non Resident,1,EY2020-2025
67,Texas Resident,1,EY2020-2025
68,Texas Resident,1,EY2020-2025
69,Texas Resident,1,EY2020-2025
79,Non Resident,1,EY2020-2025
