age,applicants,accepted,matriculated,acceptance_rate,matriculation_rate,years_pooled
14,1,0,0,,,EY2020-2025
17,15,6,4,0.4,0.2667,EY2020-2025
18,60,17,15,0.2833,0.25,EY2020-2025
19,400,162,144,0.405,0.36,EY2020-2025
20,4336,2168,1848,0.5,0.4262,EY2020-2025
21,13659,6046,5232,0.4426,0.383,EY2020-2025
22,11426,4154,3553,0.3636,0.311,EY2020-2025
23,8201,2515,2111,0.3067,0.2574,EY2020-2025
24,5287,1433,1178,0.271,0.2228,EY2020-2025
25,3159,759,629,0.2403,0.1991,EY2020-2025
26,1873,415,370,0.2216,0.1975,EY2020-2025
27,1276,276,219,0.2163,0.1716,EY2020-2025
28,901,195,165,0.2164,0.1831,EY2020-2025
29,656,145,117,0.221,0.1784,EY2020-2025
30,474,109,88,0.23,0.1857,EY2020-2025
31,395,91,79,0.2304,0.2,EY2020-2025
32,311,61,52,0.1961,0.1672,EY2020-2025
33,257,51,44,0.1984,0.1712,EY2020-2025
34,232,51,42,0.2198,0.181,EY2020-2025
35,145,25,20,0.1724,0.1379,EY2020-2025
36,140,37,28,0.2643,0.2,EY2020-2025
37,124,22,19,0.1774,0.1532,EY2020-2025
38,104,17,17,0.1635,0.1635,EY2020-2025
39,86,18,15,0.2093,0.1744,EY2020-2025
40,47,10,5,0.2128,0.1064,EY2020-2025
41,44,11,9,0.25,0.2045,EY2020-2025
42,45,14,10,0.3111,0.2222,EY2020-2025
43,29,1,1,0.0345,0.0345,EY2020-2025
44,26,6,4,0.2308,0.1538,EY2020-2025
45,19,3,3,0.1579,0.1579,EY2020-2025
46,15,3,2,0.2,0.1333,EY2020-2025
47,17,3,3,0.1765,0.1765,EY2020-2025
48,13,1,1,0.0769,0.0769,EY2020-2025
49,13,3,2,0.2308,0.1538,EY2020-2025
50,8,0,0,,,EY2020-2025
51,6,0,0,,,EY2020-2025
52,7,0,0,,,EY2020-2025
53,6,3,3,,,EY2020-2025
54,1,0,0,,,EY2020-2025
55,1,0,0,,,EY2020-2025
56,2,0,0,,,EY2020-2025
57,1,0,0,,,EY2020-2025
58,1,0,0,,,EY2020-2025
59,1,0,0,,,EY2020-2025
60,1,0,0,,,EY2020-2025
61,3,0,0,,,EY2020-2025
62,3,0,0,,,EY2020-2025
63,1,0,0,,,EY2020-2025
64,1,0,0,,,EY2020-2025
65,1,0,0,,,EY2020-2025
66,1,0,0,,,EY2020-2025
67,2,0,0,,,EY2020-2025
68,1,0,0,,,EY2020-2025
69,1,0,0,,,EY2020-2025
79,1,0,0,,,EY2020-2025
