entry_year,dimension,in_group,applicants_total,interviewed,accepted,matriculated
2016,reapplicant,1734,7323,754,462,438
2017,reapplicant,1784,7324,717,460,427
2018,reapplicant,1689,7373,773,411,388
2019,reapplicant,1732,7715,686,376,273
2020,reapplicant,1880,7783,998,522,472
2021,reapplicant,2141,9482,1178,613,523
2022,reapplicant,2283,9173,1188,741,653
2023,reapplicant,2062,8875,1210,737,654
2024,reapplicant,2086,9005,1316,698,636
2025,reapplicant,2088,9518,1168,618,578
2026,reapplicant,2391,10240,930,141,0
2016,nontraditional,0,7323,0,0,0
2017,nontraditional,0,7324,0,0,0
2018,nontraditional,0,7373,0,0,0
2019,nontraditional,0,7715,0,0,0
2020,nontraditional,1967,7783,928,535,455
2021,nontraditional,2502,9482,1064,616,505
2022,nontraditional,2302,9173,982,665,547
2023,nontraditional,2106,8875,1015,619,536
2024,nontraditional,2234,9005,1263,654,576
2025,nontraditional,2309,9518,1203,610,549
2026,nontraditional,2593,10240,993,200,0
2016,military,163,7323,58,48,36
2017,military,148,7324,59,40,35
2018,military,173,7373,57,36,31
2019,military,162,7715,64,44,26
2020,military,146,7783,68,46,28
2021,military,159,9482,75,46,35
2022,military,171,9173,73,49,36
2023,military,144,8875,72,50,34
2024,military,155,9005,95,58,44
2025,military,144,9518,81,40,33
2026,military,166,10240,59,24,0
